"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
168610896491236_1841014935917482,https://www.facebook.com/manudglom/posts/1841014935917482,"ขอพลังจงสถิตย์อยู่กับท่าน ชาวนนทบุเรียนผู้ต้องเผชิญกับแยกแครายทุกคน

ส่วนผมถึงที่ทำงานแล้ว กูเกิ้ลพาอ้อมโลกด้วยระยะทางมากกว่าปกติ 1 เท่า แต่ใช้เวลาเท่าเดินทางมาทำงานตามปกติ~",Status,,,"02/26/2018 04:11:42 PM"," ",9116,9116,0,14351,14351,0,1650,1535,1728,1,1,12964,8207,0,0,1535,0,0,0,0,0,0,0,0,0,0,3,275,26,3,278,39,1533,19,,1705,23,,1,,1,
168610896491236_1839397616079214,https://www.facebook.com/manudglom/posts/1839397616079214,"วาดไว้นานแล้วเพิ่งเจอ ตอนนั้นติดซีรี่ส์ เคียวโกะนักสืบขี้ลืม
จนทำให้อยากเขียนแสดงความรู้สึกของมนุษย์เงินเดือนติดซีรี่ส์ขึ้นมาเลยครับ ;_;",Link,,,"02/25/2018 06:34:31 AM"," ",9007,9007,0,13058,13058,0,814,749,901,1,1,12377,8456,0,0,795,0,0,0,0,0,0,0,0,0,0,2,132,10,2,136,19,145,682,,190,711,,,1,,1
168610896491236_1834788333206809,https://www.facebook.com/manudglom/posts/1834788333206809:0,"ท่าไม้ตายของพ่อบ้านเกมเมอร์ ไม่ต้องแอบเล่นมันแล้ว เล่นกันจะๆเนี่ยแหละ ศุกร์กับเสาร์นี้องเมียวจิมีแจกของหนักมากด้วยเข้าไปรับกันด่วนๆ

โหลดเลยทั้งบน andriod และ iOS
https://goo.gl/iDUpcV

ติดตามข่าวสารได้ทางหน้าเพจ https://www.facebook.com/TH.ONMYOJI/

#OMJ #องเมียวจิ#Onmyoji
MobileGames",Photo,,,"02/22/2018 03:00:00 AM"," ",18883,18883,0,27883,27883,0,4082,3880,5449,1,1,23121,15700,0,0,3672,0,0,0,0,0,0,0,0,0,0,32,572,58,32,574,105,2074,15,2917,2429,18,3002,1,,1,
168610896491236_1831266086892367,https://www.facebook.com/manudglom/posts/1831266086892367,"ตอนนี้มาเรียนรู้เทคนิคการเขียนอีเมลล์ให้อลังฯกันครับ
#สาระเราก็มี",Link,,,"02/18/2018 03:00:00 AM"," ",13511,13511,0,19127,19127,0,1420,1318,1712,1,1,18258,12993,0,0,1380,0,0,0,0,0,0,0,0,0,0,9,232,22,9,237,37,413,1205,,504,1208,,1,,1,
168610896491236_1825411394144503,https://www.facebook.com/manudglom/posts/1825411394144503,"มีลูกเพจแท็กมา ผมเห็นว่าคู่ควรกับลูกเพจท่านอื่นทุกคนสำหรับโอกาสเสริมความแข็งแกร่งให้กับปราการด่านสุดท้ายของท่านชาย",Photo,,,"02/12/2018 10:20:56 PM"," ",10419,10419,0,17827,17827,0,1388,1330,2228,1,1,17419,10248,0,0,1362,0,0,0,0,0,0,0,0,0,0,,127,19,16,127,23,1112,1,585,1618,1,609,,1,,1
168610896491236_1821359311216378,https://www.facebook.com/manudglom/posts/1821359311216378,"วันนี้ขอนำเสนอโซลูชั่นลับของมนุดกลมสำหรับคุณพ่อเกมเมอร์ผู้มีเวลาในการเล่นเกมน้อยนิด จะได้ไปล่าสมบัติกับ องเมียวจิ Golden Day รับของแจกมากมายนะเออ

ใครยังไม่เล่น ดาวโหลดได้ที่ https://goo.gl/AM5cdx
#OMJ #OMJGold #องเมียวจิ #Onmyoji #ล่าขุมทรัพย์

ปล ระวังเป็นริซซี่ อย่านั่งนานนาจา",Photo,,,"02/09/2018 07:00:00 PM"," ",14550,14550,0,23010,23010,0,4560,4514,6410,2,2,20491,13142,0,0,4357,0,0,0,0,0,0,0,0,0,0,8,330,33,8,346,52,1825,35,4135,2153,35,4222,1,1,1,1
168610896491236_1816062928412683,https://www.facebook.com/manudglom/posts/1816062928412683,"เมื่อลูกเริ่มหัดคว้าและกำของ พ่อแม่ก็ต้องสนับสนุน

อ่านย้อนทุกตอนได้ที่ https://manudglom.com นาจาาา",Photo,,,"02/05/2018 03:00:00 AM"," ",39065,39065,0,67015,67015,0,9085,8886,12581,1,1,35804,21023,0,0,6045,0,0,0,0,0,0,0,0,0,0,80,1093,74,81,1223,131,3340,28,7793,4555,28,7998,,1,,1
168610896491236_1811890165496626,https://www.facebook.com/manudglom/posts/1811890165496626:0,"เกมเมอร์มนุดเงินเดือน เปย์นิดๆหน่อยๆ สบายอยู่แล้น

องเมียวจิ เกม RPG สไตล์ญี่ปุ่น ดาวน์โหลดได้แล้วทั้งทั้งระบบ iOS และ Android https://goo.gl/iDUpcV
#OMJ #องเมียวจิ#Onmyoji",Photo,,,"02/01/2018 03:00:01 AM"," ",15800,15800,0,24146,24146,0,2316,2216,3540,0,0,22765,15030,0,0,2210,0,0,0,0,0,0,0,0,0,0,5,301,36,5,303,60,1096,15,1982,1446,16,2078,,,,
168610896491236_1805048039514172,https://www.facebook.com/manudglom/posts/1805048039514172,"ตอนนี้นำเสนอกิจกรรมกระชับความสัมพันธ์ในครอบครัวครับ เอาไปลองเล่นกันได้",Link,,,"01/25/2018 04:49:10 AM"," ",13497,13497,0,20864,20864,0,1254,1152,1403,2,2,20185,13154,0,0,1225,0,0,0,0,0,0,0,0,0,0,4,199,10,4,199,20,312,1021,,342,1061,,2,,2,
