"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
168610896491236_2017046618314312,https://www.facebook.com/manudglom/videos/2017046618314312/,ชาชัก,Video,,,"07/21/2018 02:59:28 AM"," ",4243,4243,0,6051,6051,0,676,567,718,0,0,5429,3815,0,0,635,1006,1394,0,0,1006,1394,0,0,0,850,4,184,26,4,187,50,60,527,1,,64,644,1,,,,,
168610896491236_2016649648354009,https://www.facebook.com/manudglom/posts/2016649648354009,"อุตส่าห์ติดหน้าสุดท้ายกับเค้าด้วย
กราบทุกท่านที่ยังตามติดอยู่ต้อยๆ แม้ช่วงนี้จะออกช้าเว่อๆเพราะต้องสละร่างเลี้ยงลูกด้วยนะคร้าบ",Photo,,,"07/20/2018 08:25:45 PM"," ",1428,1428,0,1888,1888,0,646,609,1213,0,0,1780,1341,0,0,634,0,0,0,0,0,0,0,0,0,0,,73,,10,76,,,324,1,485,,665,1,547,,,,
168610896491236_1996099737075667,https://www.facebook.com/manudglom/posts/1996099737075667,"เจอเทคนิคไปออกกำลังกายฉบับพ่อลูกอ่อนของมนุดกลม อึ้งแน่นอน",Link,,,"07/08/2018 03:00:01 AM"," ",6265,6265,0,8831,8831,0,873,763,915,1,1,8467,6080,0,0,858,0,0,0,0,0,0,0,0,0,0,1,222,11,1,223,27,,161,700,3,,200,712,3,1,,1,
168610896491236_1994399063912401,https://www.facebook.com/manudglom/posts/1994399063912401,เคยโดนทักว่าเป็นแขกทั้งๆที่หน้าไท๊ยไทยกันมั้ยครับ?,Photo,,,"07/07/2018 02:57:37 AM"," ",12656,12656,0,21311,21311,0,5818,5766,7588,0,0,17931,10510,0,0,5320,0,0,0,0,0,0,0,0,0,0,26,486,48,26,491,92,,1392,6,5657,,1652,6,5930,,,,
168610896491236_1989825587703082,https://www.facebook.com/manudglom/posts/1989825587703082,"เจอทีมหมูป่าแล้ว เพราะครูบาเหล่านี้รวมพลังกันแน่เลย~

ว่างๆเบื่อๆหาไรอ่านเรื่อยเปื่ิย?
เรียนเชิญ https://manudglom.com จ้า",Photo,,,"07/04/2018 03:48:52 AM"," ",19197,19197,0,28383,28383,0,2282,2060,2927,1,1,15305,10214,0,0,1650,0,0,0,0,0,0,0,0,0,0,20,377,107,21,383,223,,1806,10,546,,2357,10,560,,1,,1
168610896491236_1985925704759737,https://www.facebook.com/manudglom/posts/1985925704759737,"สู้ต่อไปชาว bts
และทีมขับรถไปทำงาน ;_;

รอคิว รถติด ว่างๆเบื่อๆ แวะมาอ่านการ์ตูนได้ทุกตอนที่ https://manudglom.com จ้า",Photo,,,"07/01/2018 06:02:03 PM"," ",6367,6367,0,9529,9529,0,816,573,723,0,0,7911,5444,0,0,730,0,0,0,0,0,0,0,0,0,0,9,331,23,9,336,33,,418,5,230,,482,5,236,,,,
168610896491236_1983294198356221,https://www.facebook.com/manudglom/posts/1983294198356221,"หายไปหลายอาทิตย์ มาเล่าสุดสัปดาห์ของชาวนนทบุเรี่ยนให้ฟังครับ",Link,,,"06/30/2018 03:50:29 AM"," ",11864,11864,0,17118,17118,0,1808,1655,2112,0,0,14463,10011,0,0,1686,0,0,0,0,0,0,0,0,0,0,16,377,38,17,383,69,,431,1535,2,,517,1593,2,,,,
168610896491236_1951295031556138,https://www.facebook.com/manudglom/posts/1951295031556138,"ตอนนี้ผมเริ่มเล่านิทานให้ลูกฟังละครับ
อยากได้ข้อชี้แนะจากทุกคนด้วยครับ",Link,,,"06/09/2018 03:50:00 AM"," ",8187,8187,0,12649,12649,0,1430,1316,1835,0,0,11101,7197,0,0,1380,0,0,0,0,0,0,0,0,0,0,15,286,33,15,305,72,,504,1148,,,636,1199,,,,,
168610896491236_1946457748706533,https://www.facebook.com/manudglom/posts/1946457748706533,"นี่ทุกวันนี้กินประจำไปละครับ 555",Photo,,,"06/04/2018 10:21:00 PM"," ",2104,2104,0,2393,2393,0,1038,947,1375,2,2,2245,1998,0,0,1024,0,0,0,0,0,0,0,0,0,0,,159,11,7,160,16,,711,,499,,860,,515,1,1,1,1
