"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
168610896491236_2251061194912852,https://www.facebook.com/manudglom/posts/2251061194912852,"ถ่ายรูปกับลูกยังไงไม่ให้จำเจ

อ่านย้อนทุกตอนไหลๆยาวๆที่ https://manudglom.com น้าา",Photo,,,"12/27/2018 03:00:51 AM"," ",20737,20737,0,31992,31992,0,3678,3216,4768,2,2,20883,13038,0,0,3164,0,0,0,0,0,0,0,0,0,0,47,1003,72,47,1022,117,2264,1877,25,2790,1953,25,1,1,1,1
168610896491236_2243670878985217,https://www.facebook.com/manudglom/posts/2243670878985217,"โห ลดขนาดนี้ พลาดได้ไง
ใครโควต้าลดหย่อนภาษียังเหลือ
นี่เป็นโอกาสของท่านแล้ว
จัดเลยมนุดกลมเล่ม 1-5 ลด 70% แม่จ้าววว
#เหมือนร้านเค้าอยากเคลียร์ชั้นหนังสืออะ
#ช่วยๆเค้าหน่อยละกันนะ

ขอบคุณรูปจากแฟนคลับผู้ทันซื้อเล่ม 1 วันแรกที่วางแผง",Photo,,,"12/22/2018 04:32:46 AM"," ",7656,7656,0,10885,10885,0,803,681,858,0,0,9901,6969,0,0,744,0,0,0,0,0,0,0,0,0,0,4,185,18,4,186,34,632,85,,773,85,,,,,
168610896491236_2240360605982911,https://www.facebook.com/manudglom/posts/2240360605982911,"มัดรวมตอนสั้นเลี้ยงลูกสไตล์มนุดกลม
ตอบทุกคำถาม ทั้งการกล่อมลูก เล่นกับลูก ทำโทษลูก
แชร์แบบไม่หวงวิชา ทำตามกันได้เลย",Link,,,"12/19/2018 08:49:24 PM"," ",5675,4291,1466,8080,6419,1661,682,584,636,1,1,6857,4460,915,746,653,0,0,0,0,0,0,0,0,0,0,7,172,5,7,175,6,77,,547,89,,547,1,,1,
168610896491236_2236184633067175,https://www.facebook.com/manudglom/posts/2236184633067175,"พอเด็กเริ่มโตจะงอแงไม่ยอมนอนเปลี่ยนเพิสดีดี
วันนี้มนุดกลมมีเทคนิคแก้ปัญหามาฝากกัน",Photo,,,"12/16/2018 09:45:55 PM"," ",12465,9430,3672,18546,14069,4477,1855,1522,1895,2,2,17373,11632,4477,3672,1787,0,0,0,0,0,0,0,0,0,0,10,528,23,10,528,48,1008,726,1,1126,768,1,2,,2,
168610896491236_2225775030774802,https://www.facebook.com/manudglom/posts/2225775030774802,"รีรันรอบที่ 4",Photo,,,"12/10/2018 12:38:36 AM"," ",7325,7325,0,10341,10341,0,934,854,1186,1,1,9997,7077,0,0,918,0,0,0,0,0,0,0,0,0,0,,151,17,4,152,19,619,418,,754,432,,1,,1,
168610896491236_2220156578003314,https://www.facebook.com/manudglom/posts/2220156578003314,ควันหลงวันพ่อ,Photo,,,"12/06/2018 09:45:03 PM"," ",11804,11804,0,17302,17302,0,2704,2521,3190,0,0,15224,10216,0,0,2563,0,0,0,0,0,0,0,0,0,0,12,393,25,12,403,41,2101,702,,2468,722,,,,,
168610896491236_2210751072277198,https://www.facebook.com/manudglom/posts/2210751072277198,"วันนี้โรงเรียนสาธิตแห่งมหาวิทยาลัยธรรมศาสตร์เชิญผมไปนั่งเสวนาเรื่องการอ่านและการทำสิ่งที่ชอบให้เป็นอาชีพมาครับเพื่อจุดไฟ บรรยากาศอบอุ่นมากและสัมผัสได้ถึงพลังวัยรุ่น ผมได้ราดน้ำมันลงกองไฟและเฝ้ารอวันที่ผลงานน้องๆยิ่งใหญ่ระดับประเทศต่อไป ^^",Photo,,,"11/30/2018 12:53:34 AM"," ",4025,4025,0,5443,5443,0,350,267,371,0,0,4803,3543,0,0,301,0,0,0,0,0,0,0,0,0,0,3,126,6,3,130,9,161,168,,196,175,,,,,
168610896491236_2205414342810871,https://www.facebook.com/manudglom/posts/2205414342810871,พอลูกครบขวบแล้วอะไรๆก็ดีขึ้น,Photo,,,"11/27/2018 03:40:52 AM"," ",12840,12840,0,17225,17225,0,2066,1595,2078,0,0,14588,10701,0,0,1917,0,0,0,0,0,0,0,0,0,0,13,675,64,13,675,131,1322,453,,1612,466,,,,,
168610896491236_2189774937708145,https://www.facebook.com/manudglom/posts/2189774937708145,"มาดูกันว่าคุณแม่ท้อง 3 เดือน ไปเที่ยวญี่ปุ่นที่ไหน กินอะไรได้บ้าง และสามีอย่างเราๆต้องเตรียมตัวยังไง",Link,,,"11/16/2018 03:45:00 AM"," ",6638,6638,0,9957,9957,0,844,756,934,0,0,8870,5920,0,0,816,0,0,0,0,0,0,0,0,0,0,7,197,16,7,210,31,214,,665,246,,688,,,,
