"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,
168610896491236_2647604385258529,https://www.facebook.com/manudglom/posts/2647604385258529,"สาเหตุหนึ่งของความไม่สงบในครอบครัว

อ่านทุกตอนที่
https://manudglom.com",Photo,,,"08/14/2019 10:40:38 PM"," ",17900,17900,0,23819,23819,0,2831,2450,3374,1,1,22806,17275,0,0,2741,0,0,0,0,0,0,0,0,0,0,13,640,27,13,661,47,1617,1290,38,2046,1289,39,1,,,1,,
168610896491236_2632683570083944,https://www.facebook.com/manudglom/posts/2632683570083944,"หลังจากมนุดกลมโดนภรรยาแซะเรื่องเล่นมุก 5 บาท 10 บาทไปแค่วันเดียว 😏

อ่านย้อนทุกตอนที่
https://manudglom.com",Photo,,,"08/06/2019 10:29:23 PM"," ",19689,19689,0,26732,26732,0,2674,2152,2849,0,0,24594,18485,0,0,2570,0,0,0,0,0,0,0,0,0,0,18,776,34,18,785,46,1256,1154,42,1647,1158,44,,,,,,
168610896491236_2618980418120926,https://www.facebook.com/manudglom/posts/2618980418120926,"หยุดสามวันก็ต้องเลี้ยงและสอนความรู้ใหม่ๆให้ลูกซี่

อ่านย้อนทุกตอนที่
https://manudglom.com",Photo,,,"07/29/2019 10:45:00 PM"," ",32681,32681,0,46566,46566,0,4588,3934,4912,1,1,32090,22476,0,0,3739,0,0,0,0,0,0,0,0,0,0,60,1033,76,60,1066,85,3050,1412,41,3462,1407,43,,1,,,1,
168610896491236_2611435225542112,https://www.facebook.com/manudglom/posts/2611435225542112,"สาเหตุการตัดพี่ตัดน้องระดับคลาสสิค
ตัดพี่ตัดน้องทำได้แค่ในวาจาเท่านั้นแหละ &lt;3

อย่าลืมไปอ่านย้อนหลังกันทุกตอนที่
https://manudglom.com",Photo,,,"07/25/2019 07:17:22 PM"," ",26071,26071,0,36055,36055,0,2354,1813,2651,2,2,17374,12535,0,0,1558,0,0,0,0,0,0,0,0,0,0,72,817,89,73,859,141,1424,584,23,2026,602,23,1,1,,1,1,
168610896491236_2602262676459367,https://www.facebook.com/manudglom/posts/2602262676459367,"พรีเซนเตอร์เจลใส่ผมที่ถูกต้อง
ผมแข็งอยู่ทรงนานด้วยการหวีแค่ครั้งเดียวตั้งเด่ไม่มีล้มจนกว่าคุณจะสตันท์จนนกบินรอบหัว",Photo,,,"07/20/2019 11:28:13 PM"," ",17574,17574,0,24246,24246,0,1489,979,1206,1,1,11458,8223,0,0,849,0,0,0,0,0,0,0,0,0,0,33,703,21,34,721,26,819,300,,908,298,,1,,,1,,
168610896491236_2589946227691012,https://www.facebook.com/manudglom/posts/2589946227691012,"มาแล้วน้าา สติ๊กเกอร์ LINE มนุดกลม ชุดที่ 3 เพิ่มความฮาเฮให้แช้ทของคุณด้วยสีหน้าสไตล์การ์ตูนมนุดกลม
เวรี่กู๊ด มากๆ โหลดเล้ยย
https://line.me/S/sticker/7928357
https://line.me/S/sticker/7928357
https://line.me/S/sticker/7928357",Photo,,,"07/15/2019 10:25:23 PM"," ",8448,4487,4469,14627,6942,7685,428,227,274,0,0,13894,8005,7685,4469,419,0,0,0,0,0,0,0,0,0,0,3,239,11,3,242,15,91,33,132,103,33,138,,,,,,
168610896491236_2590669697618665,https://www.facebook.com/manudglom/posts/2590669697618665,"ฮรือ T_T",Photo,,,"07/14/2019 07:29:05 PM"," ",12527,12527,0,17047,17047,0,1305,980,1157,2,2,14484,10683,0,0,1182,0,0,0,0,0,0,0,0,0,0,10,454,42,10,467,66,696,387,5,771,381,5,2,,,2,,
168610896491236_2588996851119283,https://www.facebook.com/manudglom/posts/2588996851119283,"เจอมาจากเพจ พ่อลูกอ่อนนอนน้อย
อยากจะบอกว่าไม่ใช่ปัญหาของบ้านมนุดกลม",Photo,,,"07/13/2019 10:09:57 PM"," ",14646,14646,0,20415,20415,0,2497,2147,2701,0,0,17735,12730,0,0,2344,0,0,0,0,0,0,0,0,0,0,15,568,31,15,571,54,1571,943,,1761,940,,,,,,,
168610896491236_2573193186032983,https://www.facebook.com/manudglom/posts/2573193186032983,"มนุดกลม added a button to make it easier to use an app.",Link,,,"07/05/2019 09:33:22 AM"," ",4227,4227,0,5772,5772,0,173,131,140,2,2,5580,4075,0,0,168,0,0,0,0,0,0,0,0,0,0,,60,,1,60,,99,,36,103,,37,1,1,,1,1,
